_,Country,Tot\.Area__Km_._,Tot\.Area__Km_.realName,Tot\.Area__mi_._,Tot\.Area__mi_.realName,LandArea__Km_._,LandArea__Km_.realName,LandArea__mi_._,LandArea__mi_.realName,_ofworld_landmass
"
  ,4
  
  
  
  
  
  
",United States,"9,372,610",Tot.Area__Km²_,"3,618,783",Tot.Area__mi²_,"9,147,420",LandArea__Km²_,"3,531,837",LandArea__mi²_,6.10%
"
  ,16
  
  
  
  
  
  
",Sudan,"1,886,068",Tot.Area__Km²_,"728,215",Tot.Area__mi²_,"1,765,048",LandArea__Km²_,"681,489",LandArea__mi²_,1.20%
"
  ,13
  
  
  
  
  
  
",Saudi Arabia,"2,149,690",Tot.Area__Km²_,"830,000",Tot.Area__mi²_,"2,149,690",LandArea__Km²_,"830,000",LandArea__mi²_,1.40%
"
  ,1
  
  
  
  
  
  
",Russia,"17,098,242",Tot.Area__Km²_,"6,601,665",Tot.Area__mi²_,"16,376,870",LandArea__Km²_,"6,323,142",LandArea__mi²_,11.00%
"
  ,19
  
  
  
  
  
  
",Mongolia,"1,564,110",Tot.Area__Km²_,"603,906",Tot.Area__mi²_,"1,553,560",LandArea__Km²_,"599,833",LandArea__mi²_,1.00%
"
  ,14
  
  
  
  
  
  
",Mexico,"1,964,375",Tot.Area__Km²_,"758,449",Tot.Area__mi²_,"1,943,950",LandArea__Km²_,"750,563",LandArea__mi²_,1.30%
"
  ,17
  
  
  
  
  
  
",Libya,"1,759,540",Tot.Area__Km²_,"679,362",Tot.Area__mi²_,"1,759,540",LandArea__Km²_,"679,362",LandArea__mi²_,1.20%
"
  ,9
  
  
  
  
  
  
",Kazakhstan,"2,724,900",Tot.Area__Km²_,"1,052,089",Tot.Area__mi²_,"2,699,700",LandArea__Km²_,"1,042,360",LandArea__mi²_,1.80%
"
  ,18
  
  
  
  
  
  
",Iran,"1,648,195",Tot.Area__Km²_,"636,371",Tot.Area__mi²_,"1,628,550",LandArea__Km²_,"628,786",LandArea__mi²_,1.10%
"
  ,15
  
  
  
  
  
  
",Indonesia,"1,904,569",Tot.Area__Km²_,"735,358",Tot.Area__mi²_,"1,811,570",LandArea__Km²_,"699,451",LandArea__mi²_,1.20%
"
  ,7
  
  
  
  
  
  
",India,"3,287,590",Tot.Area__Km²_,"1,269,345",Tot.Area__mi²_,"2,973,190",LandArea__Km²_,"1,147,955",LandArea__mi²_,2.00%
"
  ,12
  
  
  
  
  
  
",Greenland,"2,166,086",Tot.Area__Km²_,"836,330",Tot.Area__mi²_,"410,450",LandArea__Km²_,"158,476",LandArea__mi²_,0.30%
"
  ,11
  
  
  
  
  
  
",DR Congo,"2,344,858",Tot.Area__Km²_,"905,354",Tot.Area__mi²_,"2,267,050",LandArea__Km²_,"875,313",LandArea__mi²_,1.50%
"
  ,3
  
  
  
  
  
  
",China,"9,706,961",Tot.Area__Km²_,"3,747,877",Tot.Area__mi²_,"9,388,211",LandArea__Km²_,"3,624,807",LandArea__mi²_,6.30%
"
  ,2
  
  
  
  
  
  
",Canada,"9,984,670",Tot.Area__Km²_,"3,855,101",Tot.Area__mi²_,"9,093,510",LandArea__Km²_,"3,511,022",LandArea__mi²_,6.10%
"
  ,5
  
  
  
  
  
  
",Brazil,"8,515,767",Tot.Area__Km²_,"3,287,955",Tot.Area__mi²_,"8,358,140",LandArea__Km²_,"3,227,095",LandArea__mi²_,5.60%
"
  ,6
  
  
  
  
  
  
",Australia,"7,692,024",Tot.Area__Km²_,"2,969,906",Tot.Area__mi²_,"7,682,300",LandArea__Km²_,"2,966,151",LandArea__mi²_,5.20%
"
  ,8
  
  
  
  
  
  
",Argentina,"2,780,400",Tot.Area__Km²_,"1,073,518",Tot.Area__mi²_,"2,736,690",LandArea__Km²_,"1,056,641",LandArea__mi²_,1.80%
"
  ,10
  
  
  
  
  
  
",Algeria,"2,381,741",Tot.Area__Km²_,"919,595",Tot.Area__mi²_,"2,381,740",LandArea__Km²_,"919,595",LandArea__mi²_,1.60%
"
  ,20
  
  
  
  
  
  
",Peru,"1,285,216",Tot.Area__Km²_,"496,224",Tot.Area__mi²_,"1,280,000",LandArea__Km²_,"494,211",LandArea__mi²_,0.90%
"
  ,21
  
  
  
  
  
  
",Chad,"1,284,000",Tot.Area__Km²_,"495,755",Tot.Area__mi²_,"1,259,200",LandArea__Km²_,"486,180",LandArea__mi²_,0.80%
"
  ,22
  
  
  
  
  
  
",Niger,"1,267,000",Tot.Area__Km²_,"489,191",Tot.Area__mi²_,"1,266,700",LandArea__Km²_,"489,075",LandArea__mi²_,0.90%
"
  ,23
  
  
  
  
  
  
",Angola,"1,246,700",Tot.Area__Km²_,"481,353",Tot.Area__mi²_,"1,246,700",LandArea__Km²_,"481,353",LandArea__mi²_,0.80%
"
  ,24
  
  
  
  
  
  
",Mali,"1,240,192",Tot.Area__Km²_,"478,841",Tot.Area__mi²_,"1,220,190",LandArea__Km²_,"471,118",LandArea__mi²_,0.80%
"
  ,25
  
  
  
  
  
  
",South Africa,"1,221,037",Tot.Area__Km²_,"471,445",Tot.Area__mi²_,"1,213,090",LandArea__Km²_,"468,376",LandArea__mi²_,0.80%
"
  ,26
  
  
  
  
  
  
",Colombia,"1,141,748",Tot.Area__Km²_,"440,831",Tot.Area__mi²_,"1,109,500",LandArea__Km²_,"428,380",LandArea__mi²_,0.70%
"
  ,27
  
  
  
  
  
  
",Ethiopia,"1,104,300",Tot.Area__Km²_,"426,372",Tot.Area__mi²_,"1,000,000",LandArea__Km²_,"386,102",LandArea__mi²_,0.70%
"
  ,28
  
  
  
  
  
  
",Bolivia,"1,098,581",Tot.Area__Km²_,"424,164",Tot.Area__mi²_,"1,083,300",LandArea__Km²_,"418,264",LandArea__mi²_,0.70%
"
  ,29
  
  
  
  
  
  
",Mauritania,"1,030,700",Tot.Area__Km²_,"397,955",Tot.Area__mi²_,"1,030,700",LandArea__Km²_,"397,955",LandArea__mi²_,0.70%
"
  ,30
  
  
  
  
  
  
",Egypt,"1,002,450",Tot.Area__Km²_,"387,048",Tot.Area__mi²_,"995,450",LandArea__Km²_,"384,345",LandArea__mi²_,0.70%
"
  ,31
  
  
  
  
  
  
",Tanzania,"945,087",Tot.Area__Km²_,"364,900",Tot.Area__mi²_,"885,800",LandArea__Km²_,"342,009",LandArea__mi²_,0.60%
"
  ,32
  
  
  
  
  
  
",Nigeria,"923,768",Tot.Area__Km²_,"356,669",Tot.Area__mi²_,"910,770",LandArea__Km²_,"351,650",LandArea__mi²_,0.60%
"
  ,33
  
  
  
  
  
  
",Venezuela,"916,445",Tot.Area__Km²_,"353,841",Tot.Area__mi²_,"882,050",LandArea__Km²_,"340,561",LandArea__mi²_,0.60%
"
  ,34
  
  
  
  
  
  
",Pakistan,"881,912",Tot.Area__Km²_,"340,508",Tot.Area__mi²_,"770,880",LandArea__Km²_,"297,638",LandArea__mi²_,0.50%
"
  ,35
  
  
  
  
  
  
",Namibia,"825,615",Tot.Area__Km²_,"318,772",Tot.Area__mi²_,"823,290",LandArea__Km²_,"317,874",LandArea__mi²_,0.60%
"
  ,36
  
  
  
  
  
  
",Mozambique,"801,590",Tot.Area__Km²_,"309,496",Tot.Area__mi²_,"786,380",LandArea__Km²_,"303,623",LandArea__mi²_,0.50%
